,Genre,,,Awards,Awards - Split 1 ,Awards - Split 2,Awards - Split 3,Total Awards,Metascore,imdbVotes
57,Animation, Drama, War,3 wins.,3,,,3,N/A,"156,225"
58,Drama, War,,Nominated for 1 BAFTA Film Award. Another 4 wins & 2 nominations.,1,4,2,7,N/A,"132,224"
59,Drama, Western,,Won 2 Oscars. Another 56 wins & 151 nominations.,2,56,151,209,81,"1,047,465"
60,Drama, Horror,,3 wins & 5 nominations.,3,5,,8,61,"664,418"
61,Animation, Adventure, Family,Won 1 Oscar. Another 90 wins & 90 nominations.,1,90,90,181,94,"782,275"
62,Drama, Romance,,Won 5 Oscars. Another 103 wins & 98 nominations.,5,103,98,206,86,"881,549"
63,Action, Thriller,,Nominated for 1 BAFTA Film Award. Another 38 wins & 101 nominations.,1,38,101,140,78,"1,228,378"
64,Animation, Adventure, Fantasy,13 wins & 5 nominations.,13,5,,18,76,"246,093"
65,Action, Adventure, Sci-Fi,Won 2 Oscars. Another 18 wins & 22 nominations.,2,18,22,42,87,"529,034"
66,Drama, Mystery, Thriller,38 wins & 18 nominations.,38,18,,56,74,"387,850"
67,Crime, Drama,,Nominated for 2 Golden Globes. Another 11 wins & 7 nominations.,2,11,7,20,N/A,"239,391"
68,Crime, Drama, Mystery,Nominated for 6 Oscars. Another 3 wins & 9 nominations.,6,3,9,18,N/A,"70,915"
69,Adventure, Drama, Thriller,Nominated for 6 Oscars. Another 13 wins & 5 nominations.,6,13,5,24,86,"180,895"
70,Drama, Mystery,,Won 1 Oscar. Another 9 wins & 12 nominations.,1,9,12,22,100,"318,781"
71,Action, Biography, Drama,3 wins.,3,,,3,N/A,"55,286"
72,Action, Adventure, Mystery,Nominated for 3 Oscars. Another 8 wins & 4 nominations.,3,8,4,15,N/A,"235,871"
73,Mystery, Romance, Thriller,Nominated for 2 Oscars. Another 8 wins & 4 nominations.,2,8,4,14,N/A,"272,500"
74,Action, Adventure, Fantasy,Nominated for 4 Oscars. Another 20 wins & 16 nominations.,4,20,16,40,53,"747,275"
75,Crime, Drama, Thriller,9 wins & 15 nominations.,9,15,,24,78,"721,998"
76,Biography, Drama, History,Won 5 Oscars. Another 26 wins & 29 nominations.,5,26,29,60,68,"793,897"
77,Crime, Drama, Mystery,2 wins.,2,,,2,N/A,"107,757"
78,Drama,,,Nominated for 1 Oscar. Another 33 wins & 62 nominations.,1,33,62,96,68,"618,232"
79,Comedy, Romance,,Nominated for 5 Oscars. Another 57 wins & 64 nominations.,5,57,64,126,69,"574,954"
80,Drama, Family, Music,14 wins & 15 nominations.,14,15,,29,N/A,"105,140"
81,Crime, Drama, Sci-Fi,Nominated for 4 Oscars. Another 9 wins & 17 nominations.,4,9,17,30,78,"601,251"
82,Adventure, Biography, Drama,Won 7 Oscars. Another 23 wins & 14 nominations.,7,23,14,44,100,"207,765"
83,Crime, Drama,,Nominated for 4 Oscars. Another 21 wins & 15 nominations.,4,21,15,40,93,"549,211"
84,Crime, Drama, Film-Noir,Nominated for 7 Oscars. Another 2 wins & 2 nominations.,7,2,2,11,N/A,"106,914"
85,Drama, Romance, Sci-Fi,Won 1 Oscar. Another 70 wins & 109 nominations.,1,70,109,180,89,"720,117"
86,Biography, Drama, History,Won 8 Oscars. Another 33 wins & 14 nominations.,8,33,14,55,93,"293,394"
87,Crime, Drama,,Won 3 Oscars. Another 10 wins & 16 nominations.,3,10,16,29,N/A,"234,351"
88,Animation, Adventure, Comedy,Won 2 Oscars. Another 59 wins & 91 nominations.,2,59,91,152,92,"589,975"
89,Drama, War,,Nominated for 1 Oscar. Another 7 wins & 9 nominations.,1,7,9,17,76,"527,053"
90,Adventure, Sci-Fi,,Won 1 Oscar. Another 13 wins & 8 nominations.,1,13,8,22,86,"462,767"
91,Comedy, Musical, Romance,Nominated for 2 Oscars. Another 5 wins & 7 nominations.,2,5,7,14,N/A,"166,166"
92,Animation, Drama, Fantasy,8 wins & 11 nominations.,8,11,,19,79,"37,312"
93,Comedy, Crime, Drama,Won 7 Oscars. Another 10 wins & 6 nominations.,7,10,6,23,80,"190,154"
94,Animation, Adventure, Comedy,Nominated for 3 Oscars. Another 23 wins & 18 nominations.,3,23,18,44,95,"680,986"
95,Drama,,,Nominated for 1 Oscar. Another 18 wins.,1,18,18,37,N/A,"104,275"
96,Comedy, Drama, Family,1 win.,1,,,1,N/A,"76,513"
97,Adventure, Drama, War,Won 1 Oscar. Another 129 wins & 165 nominations.,1,129,165,295,69,"969,927"
98,Adventure, Comedy, Drama,25 wins & 13 nominations.,25,13,,38,67,"242,305"
99,Comedy, Crime,,4 wins & 6 nominations.,4,6,,10,55,"643,205"
100,Adventure, Comedy, Fantasy,2 wins & 2 nominations.,2,2,,4,93,"408,671"
101,Crime, Drama, Mystery,Won 2 Oscars. Another 85 wins & 77 nominations.,2,85,77,164,90,"441,642"
102,Western,,,N/A,,,,0,N/A,"171,692"
103,Drama,,,Nominated for 1 Oscar. Another 36 wins & 65 nominations.,1,36,65,102,76,"194,271"
104,Drama,,,Won 2 Oscars. Another 22 wins & 55 nominations.,2,22,55,79,70,"659,342"
105,Crime, Drama,,Nominated for 3 Golden Globes. Another 4 nominations.,3,4,,7,65,"580,090"
106,Drama,,,11 wins & 1 nomination.,11,1,1,13,N/A,"47,483"
107,Comedy, Drama, Romance,Won 5 Oscars. Another 19 wins & 8 nominations.,5,19,8,32,N/A,"119,156"
108,Crime, Drama, Mystery,Nominated for 1 Oscar. Another 9 wins & 4 nominations.,1,9,4,14,N/A,"111,960"
109,Drama, Mystery,,Won 1 Oscar. Another 82 wins & 43 nominations.,1,82,43,126,95,"166,787"
110,Drama, Sci-Fi,,5 wins & 4 nominations.,5,4,,9,98,"121,542"
111,Action, Adventure, Fantasy,Won 1 Oscar. Another 6 wins & 20 nominations.,1,6,20,27,65,"555,173"
112,Drama,,,Won 6 Oscars. Another 17 wins & 17 nominations.,6,17,17,40,N/A,"89,890"
113,Action, Drama, Thriller,Nominated for 1 Oscar. Another 4 wins & 1 nomination.,1,4,1,6,N/A,"80,616"
114,Action, Adventure,,Nominated for 1 Oscar. Another 14 wins & 71 nominations.,1,14,71,86,70,"1,053,569"
115,Animation, Adventure, Comedy,Won 2 Oscars. Another 74 wins & 82 nominations.,2,74,82,158,88,"727,405"
116,Comedy, Romance,,Won 1 Oscar. Another 9 wins & 13 nominations.,1,9,13,23,N/A,"189,098"
117,Adventure, Drama, Western,Won 3 Oscars. Another 12 wins & 5 nominations.,3,12,5,20,N/A,"85,244"
118,Drama, Western,,Won 4 Oscars. Another 40 wins & 28 nominations.,4,40,28,72,82,"298,035"
119,Biography, Drama, History,Nominated for 1 Oscar. Another 21 wins & 29 nominations.,1,21,29,51,82,"266,492"
120,Biography, Drama, Sport,Won 2 Oscars. Another 22 wins & 26 nominations.,2,22,26,50,92,"251,296"
121,Action, Thriller,,Nominated for 4 Oscars. Another 6 wins & 2 nominations.,4,6,2,12,70,"636,557"
122,Film-Noir, Mystery, Thriller,Won 1 Oscar. Another 4 wins & 4 nominations.,1,4,4,9,N/A,"122,343"
123,Drama, Family,,Nominated for 1 Oscar. Another 13 wins & 4 nominations.,1,13,4,18,N/A,"35,297"
124,Action, Crime, Drama,12 nominations.,12,,,12,76,"461,331"
125,Adventure, Drama, History,Nominated for 1 Oscar. Another 2 wins & 9 nominations.,1,2,9,12,N/A,"177,901"
126,Drama, Mystery, Thriller,Won 1 Oscar. Another 20 wins & 24 nominations.,1,20,24,45,86,"232,188"
127,Drama,,,Nominated for 1 BAFTA Film Award. Another 5 wins.,1,5,,6,N/A,"46,630"
128,Drama, Fantasy, War,Won 3 Oscars. Another 98 wins & 105 nominations.,3,98,105,206,98,"501,345"
129,Animation, Family, Fantasy,5 wins & 2 nominations.,5,2,,7,N/A,"193,678"
130,Action, Crime, Music,1 win & 1 nomination.,1,1,,2,83,"2,872"
131,Animation, Adventure, Comedy,Won 1 Oscar. Another 92 wins & 104 nominations.,1,92,104,197,94,"421,211"
132,Action, Drama,,Won 1 Oscar. Another 27 wins & 22 nominations.,1,27,22,50,96,"84,196"
133,Adventure, Comedy, Drama,Nominated for 2 Oscars. Another 3 wins & 1 nomination.,2,3,1,6,N/A,"73,848"
134,Crime, Drama, Thriller,Won 8 Oscars. Another 21 wins & 9 nominations.,8,21,9,38,88,"109,591"
135,Drama, Mystery, Romance,Won 1 Oscar. Another 51 wins & 40 nominations.,1,51,40,92,80,"145,345"
136,Drama,,,Won 1 Oscar. Another 102 wins & 132 nominations.,1,102,132,235,86,"226,372"
137,Adventure, Drama, War,Won 7 Oscars. Another 23 wins & 7 nominations.,7,23,7,37,N/A,"161,564"
138,Sci-Fi, Thriller,,Nominated for 2 Oscars. Another 11 wins & 16 nominations.,2,11,16,29,89,"499,344"
139,Animation, Adventure, Family,Nominated for 1 Oscar. Another 15 wins & 19 nominations.,1,15,19,35,80,"236,747"
140,Comedy, Drama, Music,Won 6 Oscars. Another 197 wins & 243 nominations.,6,197,243,446,93,"272,059"
141,Drama, Mystery, War,Nominated for 1 Oscar. Another 39 wins & 15 nominations.,1,39,15,55,80,"94,067"
142,Drama, War,,Won 2 Oscars. Another 13 wins & 25 nominations.,2,13,25,40,N/A,"49,303"
143,Drama, Fantasy,,7 wins & 1 nomination.,7,1,,8,N/A,"121,318"
144,Comedy, Crime,,Nominated for 1 BAFTA Film Award. Another 13 wins & 7 nominations.,1,13,7,21,66,"442,704"
